Timestamp,Country,Age,How did you know about the podcast?,Number artworks,Time when you listened to the podcast,How much didi you enjoy the podcast?,Interest before,Knowledge before,Interest after,Knowledge after,What did you learn today?,Did you look more into black holes?,"If yes, how?",Effect on how you see astronomers and astronomy?,How much did you like it?,Would you participate again?,Inspiration for mixing arts and science,"Recibimos muchas obras donde se representaba la ""espaguetización"",  el efecto ""de estiramiento"" debido a la fuerte gravedad cerca de un agujero negro. Nos preguntábamos cuál de las sientes opciones piensas que es la más correcta: ""La Humanidad...","Acá te dejo un espacio para que me cuentes lo que quieras  sobre el podcast, las preguntas que te quedaron por responder, cualquier cosa que quieras relacionado con esta experiencia de mezclar arte y ciencia. También te agradecería consejos, o si tenés ideas de que otras cosas te gustaría hacer, etc. TODO me ayuda. MIL GRACIAS"
16/10/2020 14:07:13,Brasil,41,Propaganda en Instagram,1,Antes de hacer la obra,5,4,4,4,4,Agujeros negros siguen siendo un gran misterio para la humanidad pero aún tenemos más información que antes y eso desmitifica un poco su fama como el fin del universo,Sí,"Claro, cuando tenemos información actualizada sobre temas que nos interesan desde hace mucho tiempo, percibimos el avance de la ciencia humana como una comprensión de nuestra vida en la tierra palet y sus significados.",Sí,4,5,5,"todavía no pudo visitar agujeros negros,  y con la tecnología actual tardaríamos miles de años en llegar al agujero negro mas cercano.","Digo con satisfacción que la investigación científica en biología y astronomía continúa y que la información y las encuestas se publican y difunden a través de medios más completos a diferentes públicos.
"
16/10/2020 15:00:58,México ,24,Propaganda en Facebook,1,Antes de hacer la obra,4,4,3,4,4,"Los agujeros negros no pueden ser detectados a simple vista, entonces para saber donde hay uno se tienen que observar sus efectos en los cuerpos que hay alrededor ",Sí,,,4,4,3,"todavía no pudo visitar agujeros negros,  y con la tecnología actual tardaríamos miles de años en llegar al agujero negro mas cercano.",
16/10/2020 15:11:50,Mexico,30,Propaganda en Facebook,1,Antes de hacer la obra,5,5,1,2,5,,Sí,,Sí,5,5,5,"todavía no pudo visitar agujeros negros,  y con la tecnología actual tardaríamos miles de años en llegar al agujero negro mas cercano.",
16/10/2020 15:40:02,México ,36,Propaganda en Facebook,2,Antes de hacer la obra,4,3,3,5,4,,Sí,"Pues, que la astronomía es más interesante de lo que parece y tiene muchos enigmas que insitan a seguir investigando sobre el tema, aparte el universo es hermoso, ya una obra de arte en sí... ",Sí,5,5,5,"todavía no pudo visitar agujeros negros,  y con la tecnología actual tardaríamos miles de años en llegar al agujero negro mas cercano.","Me gustó la experiencia y que en cierto modo me obligó a investigar sobre un tema en el que no le había tomado mucha importancia en la vida y ahora se me hace muy interesante, me gustó que podía participar el público en general fueran o no artistas... lo que no me gustó es que tardaban mucho en postear en la página, siento que hubiera sido más interesante si cada día hubieran publicado fragmentos informativos sobre los agujeros negros, así al ver las obras y la información nos hubiéramos adentrado más al tema y entender más cada obra. También que hubieran hecho más publicidad de las obras en distintos medios o páginas.
Gracias, quedo en espera de la próxima. "
16/10/2020 15:59:38,Perú,26,Diego se contactó con vos en Facebook,1,Antes de hacer la obra,4,5,3,5,4,"El conocimiento del agujero negro, aunque me dejó con la incógnita de saber que habrá allá adentro. Es todo un misterio. ",Sí,La perspectiva de las fuerzas del universo. Son alucinantes,Sí,5,5,5,"todavía no pudo visitar agujeros negros,  y con la tecnología actual tardaríamos miles de años en llegar al agujero negro mas cercano.",
16/10/2020 18:08:30,Argentina,31,Diego se contactó con vos  en Instagram,6,despues de hacer la obra,4,4,3,5,4,"Aprendí cómo se observan y estudian, algunas teorías nuevas sobre lo que pasaría si te acercás a los mismos, y que aún así siguen siendo un misterio.",Sí,"Ahora soy más consciente de cómo influyen esas energías sobre nosotros, ya que, después de todo de allí venimos, de ese material que se encuentra en el universo. Eso me impulsó a investigar más y a querer estar al tanto de los últimos descubrimientos astronómicos, aunque a veces se me complique el lenguaje que utilizan.",Sí,5,5,5,"todavía no pudo visitar agujeros negros,  y con la tecnología actual, nos llevaría meses llegar, pero llegaríamos.","Estoy muy agradecida de que me haya contactado Diego al encontrar una de mis obras por Instagram. Es una excelente utilización de las redes sociales, vincular personas con intereses similares, de otra forma nunca me hubiese enterado del concurso. La propuesta era clara y a la vez bastante libre, lo que me dió la libertad para mostrar mi arte, y poder verlo de otro modo con la información que me aportó el podcast. Participar de este concurso me hizo meter con más seriedad en la astronomía y querer estar al tanto de las últimas novedades. También fue un reto para mí, salir de lo intuitivo, y tener que explicar mis obras con datos obtenidos. Estaría encantada de poder participar de próximos concursos con esta temática."
16/10/2020 18:40:28,Ecuador,34,Propaganda en Facebook,1,nunca,1,5,3,5,1,,Sí,"Ha crecido mi interés en el estudio científico de los agujeros negro, ya que tengo una concepción metafísica al respecto. Dicha información va a permitir complementar los conocimientos mensionados.",Sí,5,5,5,"todavía no pudo visitar agujeros negros,  y con la tecnología actual tardaríamos miles de años en llegar al agujero negro mas cercano.",lamentablemente no pude ver dicho podcast ya que a pesar de seguir la página no hubo suficiente publicidad al respecto
17/10/2020 04:57:17,México,23,Propaganda en Facebook,2,Antes de hacer la obra,5,3,2,4,4,"Los agujeros negros se forman por la explosión de una estrella muy grande, y este ente absorbe toda la materia alrededor y ni siquiera la luz puede  escapar de su atracción gravitacional. Conforme la materia entra se emiten grandes cantidades de radiación. En las cercanías del hoyo negro hay una zona llamada horizonte de sucesos, pero no esta delimitado exactamente.  En ocasiones el agujero se acompaña de una estrella. Se puede estudiar indirectamente mediante su interacción con sus alrededores. Y también tiene una especie de giro.",Sí,"Antes no tenía mucho interés en los fenómenos astronómicos, me perdía mirando las estrellas, y sabía muy poco sobre los agujeros negros, o sobre la deformación del espacio tiempo. Cuando escuche el podcast y me entere del concurso busque algunos videos y revistas y quede muy sorprendida. ",Sí,5,4,4,"todavía no pudo visitar agujeros negros,  y con la tecnología actual, nos llevaría meses llegar, pero llegaríamos.","Me gustó mucho el podcast, se daban muy buenas analogías. Me gusta mucho la idea de involucrar el arte en ciencia (o viceversa), pero opino que sería buena idea también involucrar  la escritura o la poesía, ya que hay mucha gente que tiene talento para ello."
17/10/2020 15:33:09,España,45,Diego se contactó con vos  en Instagram,1,despues de hacer la obra,5,5,3,5,4,"Más que datos, fueron las sensaciones. Los datos cambian y cambiarán, según descubran cosas nuestros científicos!",Sí,"Sobre todo por la cercanía de Diego. Su humildad, sobre todo al hablar de arte, cuando lo que él hace es tan profundo como el arte. Es otro modo de usar el cerebro.",Sí,5,5,4,"todavía no pudo visitar agujeros negros,  y con la tecnología actual tardaríamos miles de años en llegar al agujero negro mas cercano.","Le estáis dando mucho misterio al concurso! Ganas de ver qué obras seleccionáis y cuáles son esos premios sorpresa!
Gracias por todo."
17/10/2020 19:34:52,Colombia,52,Propaganda en Instagram,1,despues de hacer la obra,5,4,4,5,5,,Sí,,Sí,5,5,5,"todavía no pudo visitar agujeros negros, pero si quisiéramos podríamos estar ahí en unas semanas",
